Date,Region,Type,Households
1/1/2010,Central,Detached,892
1/1/2011,Central,Detached,745
1/1/2012,Central,Detached,704
1/1/2013,Central,Detached,720
1/1/2014,Central,Detached,695
1/1/2010,Central,Townhouse,266
1/1/2011,Central,Townhouse,254
1/1/2012,Central,Townhouse,2995
1/1/2013,Central,Townhouse,320
1/1/2014,Central,Townhouse,283
1/1/2010,Central,Apartment,152
1/1/2011,Central,Apartment,183
1/1/2012,Central,Apartment,165
1/1/2013,Central,Apartment,190
1/1/2014,Central,Apartment,172
1/1/2010,South,Detached,363
1/1/2011,South,Detached,401
1/1/2012,South,Detached,548
1/1/2013,South,Detached,571
1/1/2014,South,Detached,522
1/1/2010,South,Townhouse,75
1/1/2011,South,Townhouse,115
1/1/2012,South,Townhouse,170
1/1/2013,South,Townhouse,222
1/1/2014,South,Townhouse,189
1/1/2010,South,Apartment,271
1/1/2011,South,Apartment,318
1/1/2012,South,Apartment,298
1/1/2013,South,Apartment,351
1/1/2014,South,Apartment,317
1/1/2010,North,Detached,381
1/1/2011,North,Detached,358
1/1/2012,North,Detached,290
1/1/2013,North,Detached,330
1/1/2014,North,Detached,293
1/1/2010,North,Townhouse,94
1/1/2011,North,Townhouse,82
1/1/2012,North,Townhouse,80
1/1/2013,North,Townhouse,94
1/1/2014,North,Townhouse,84
1/1/2010,North,Apartment,378
1/1/2011,North,Apartment,352
1/1/2012,North,Apartment,392
1/1/2013,North,Apartment,339
1/1/2014,North,Apartment,331
6/1/2010,Central,Detached,1320
6/1/2011,Central,Detached,889
6/1/2012,Central,Detached,939
6/1/2013,Central,Detached,1043
6/1/2014,Central,Detached,993
6/1/2010,Central,Townhouse,327
6/1/2011,Central,Townhouse,381
6/1/2012,Central,Townhouse,434
6/1/2013,Central,Townhouse,458
6/1/2014,Central,Townhouse,424
6/1/2010,Central,Apartment,213
6/1/2011,Central,Apartment,233
6/1/2012,Central,Apartment,250
6/1/2013,Central,Apartment,206
6/1/2014,Central,Apartment,207
6/1/2010,South,Detached,695
6/1/2011,South,Detached,514
6/1/2012,South,Detached,695
6/1/2013,South,Detached,805
6/1/2014,South,Detached,635
6/1/2010,South,Townhouse,146
6/1/2011,South,Townhouse,163
6/1/2012,South,Townhouse,247
6/1/2013,South,Townhouse,275
6/1/2014,South,Townhouse,280
6/1/2010,South,Apartment,405
6/1/2011,South,Apartment,365
6/1/2012,South,Apartment,416
6/1/2013,South,Apartment,463
6/1/2014,South,Apartment,408
6/1/2010,North,Detached,566
6/1/2011,North,Detached,433
6/1/2012,North,Detached,445
6/1/2013,North,Detached,460
6/1/2014,North,Detached,412
6/1/2010,North,Townhouse,120
6/1/2011,North,Townhouse,108
6/1/2012,North,Townhouse,127
6/1/2013,North,Townhouse,134
6/1/2014,North,Townhouse,129
6/1/2010,North,Apartment,585
6/1/2011,North,Apartment,430
6/1/2012,North,Apartment,490
6/1/2013,North,Apartment,470
6/1/2014,North,Apartment,527
