Updated: December 2014,,,,
Private households,South,Centre,Whalley(north),All of Surrey
Number of households,26830,10110,21100,152850
Under $5000,525,515,908,4510
"$5,000 to $9,999",390,355,465,2855
"$10,000 to $14,999",430,680,700,4145
"$15,000 to $19,999",950,800,985,6175
"$20,000 to $29,999",2040,1130,1710,11495
"$30,000 to $39,999",2100,1235,1900,12925
"$40,000 to $49,999",2070,1155,2010,13030
"$50,000 to $59,999",1980,965,1675,12185
"$60,000 to $79,999",3315,1470,3165,22380
"$80,000 to $99,999",2650,885,2595,18165
"$100,000 and over",2960,570,2080,16085
"$100,000 to $124,999",2170,180,1335,10995
"$125,000 and over",5250,180,1565,17915
,,,,
Average household total income ($),"$105,564.00","$50,035.00","$70,538.00","$82,789.00"
