central,,,,,,south,,,,,,north,,,,
january,detached,townhouse,apartment,sum,,january,detached,townhouse,apartment,sum,,january,detached,townhouse,apartment,sum
2010,892,266,152,1310,,2010,363,75,271,709,,2010,381,94,378,853
2011,745,254,183,1182,,2011,401,115,318,834,,2011,358,82,352,792
2012,704,295,165,1164,,2012,548,170,298,1016,,2012,290,80,392,762
2013,720,320,190,1230,,2013,571,222,351,1144,,2013,330,94,339,763
2014,695,283,172,1150,,2014,522,189,317,1028,,2014,293,84,331,708
,,,,,,,,,,,,,,,,
february,detached,townhouse,apartment,sum,,february,detached,townhouse,apartment,sum,,february,detached,townhouse,apartment,sum
2010,1014,288,159,1461,,2010,448,87,324,859,,2010,431,100,397,928
2011,838,308,209,1355,,2011,471,126,314,911,,2011,419,98,401,918
2012,772,336,184,1292,,2012,617,171,311,1099,,2012,340,104,442,886
2013,802,344,199,1345,,2013,710,249,358,1317,,2013,366,101,378,845
2014,786,341,201,1328,,2014,584,220,356,1160,,2014,331,91,388,810
,,,,,,,,,,,,,,,,
march,detached,townhouse,apartment,sum,,march,detached,townhouse,apartment,sum,,march,detached,townhouse,apartment,sum
2010,1133,343,181,1657,,2010,538,107,365,1010,,2010,502,108,484,1094
2011,872,305,202,1379,,2011,475,133,352,960,,2011,472,102,433,1007
2012,850,369,205,1424,,2012,654,204,350,1208,,2012,409,112,466,987
2013,871,388,222,1481,,2013,752,250,398,1400,,2013,371,102,423,896
2014,848,377,201,1426,,2014,588,222,383,1193,,2014,384,109,411,904
,,,,,,,,,,,,,,,,
april,detached,townhouse,apartment,sum,,april,detached,townhouse,apartment,sum,,april,detached,townhouse,apartment,sum
2010,1293,368,201,1862,,2010,661,132,380,1173,,2010,568,111,520,1199
2011,942,343,199,1484,,2011,490,140,349,979,,2011,450,115,437,1002
2012,884,428,230,1542,,2012,683,228,414,1325,,2012,414,131,474,1019
2013,968,423,225,1616,,2013,781,273,405,1459,,2013,420,114,434,968
2014,950,398,205,1553,,2014,640,266,488,1394,,2014,396,120,475,991
,,,,,,,,,,,,,,,,
may,detached,townhouse,apartment,sum,,may,detached,townhouse,apartment,sum,,may,detached,townhouse,apartment,sum
2010,1455,377,211,2043,,2010,706,155,420,1281,,2010,587,117,550,1254
2011,931,364,223,1518,,2011,515,167,367,1049,,2011,452,113,438,1003
2012,951,446,248,1645,,2012,711,249,420,1380,,2012,415,120,508,1043
2013,1049,471,227,1747,,2013,807,275,481,1563,,2013,477,130,461,1068
2014,989,440,217,1646,,2014,640,284,414,1338,,2014,406,115,518,1039
,,,,,,,,,,,,,,,,
june,detached,townhouse,apartment,sum,,june,detached,townhouse,apartment,sum,,june,detached,townhouse,apartment,sum
2010,1320,327,213,1860,,2010,695,146,405,1246,,2010,566,120,585,1271
2011,889,381,233,1503,,2011,514,163,365,1042,,2011,433,108,430,971
2012,939,434,250,1623,,2012,695,247,416,1358,,2012,445,127,490,1062
2013,1043,458,206,1707,,2013,805,275,463,1543,,2013,460,134,470,1064
2014,993,424,207,1624,,2014,635,280,408,1323,,2014,412,129,527,1068
,,,,,,,,,,,,,,,,
july,detached,townhouse,apartment,sum,,july,detached,townhouse,apartment,sum,,july,detached,townhouse,apartment,sum
2010,1226,322,218,1766,,2010,647,150,383,1180,,2010,545,114,586,1245
2011,934,381,223,1538,,2011,560,172,380,1112,,2011,428,119,431,978
2012,993,439,256,1688,,2012,721,255,421,1397,,2012,439,128,484,1051
