january,detached,townhouse,apartment,sum
2010,381,94,378,853
2011,358,82,352,792
2012,290,80,392,762
2013,330,94,339,763
2014,293,84,331,708
,,,,
february,detached,townhouse,apartment,sum
2010,431,100,397,928
2011,419,98,401,918
2012,340,104,442,886
2013,366,101,378,845
2014,331,91,388,810
,,,,
march,detached,townhouse,apartment,sum
2010,502,108,484,1094
2011,472,102,433,1007
2012,409,112,466,987
2013,371,102,423,896
2014,384,109,411,904
,,,,
april,detached,townhouse,apartment,sum
2010,568,111,520,1199
2011,450,115,437,1002
2012,414,131,474,1019
2013,420,114,434,968
2014,396,120,475,991
,,,,
may,detached,townhouse,apartment,sum
2010,587,117,550,1254
2011,452,113,438,1003
2012,415,120,508,1043
2013,477,130,461,1068
2014,406,115,518,1039
,,,,
june,detached,townhouse,apartment,sum
2010,566,120,585,1271
2011,433,108,430,971
2012,445,127,490,1062
2013,460,134,470,1064
2014,412,129,527,1068
,,,,
july,detached,townhouse,apartment,sum
2010,545,114,586,1245
2011,428,119,431,978
2012,439,128,484,1051
2013,448,130,489,1067
2014,398,117,532,1047
,,,,
august,detached,townhouse,apartment,sum
2010,496,113,501,1110
2011,408,106,420,934
2012,411,122,451,984
2013,422,127,461,1010
2014,384,119,499,1002
,,,,
september,detached,townhouse,apartment,sum
2010,494,100,467,1061
2011,401,100,423,924
2012,439,116,437,992
2013,419,121,440,980
2014,375,120,488,983
,,,,
october,detached,townhouse,apartment,sum
2010,464,102,434,1000
2011,390,94,423,907
2012,438,120,436,994
2013,385,103,402,890
2014,346,124,458,928
,,,,
november,detached,townhouse,apartment,sum
2010,420,89,386,895
2011,364,83,417,864
2012,413,122,418,953
2013,353,111,395,859
2014,292,114,465,871
,,,,
december,detached,townhouse,apartment,sum
2010,379,83,336,798
2011,265,69,333,667
2012,294,86,299,679
2013,325,93,367,785
2014,207,83,353,643
