january,detached,townhouse,apartment,sum
2010,363,75,271,709
2011,401,115,318,834
2012,548,170,298,1016
2013,571,222,351,1144
2014,522,189,317,1028
,,,,
february,detached,townhouse,apartment,sum
2010,448,87,324,859
2011,471,126,314,911
2012,617,171,311,1099
2013,710,249,358,1317
2014,584,220,356,1160
,,,,
march,detached,townhouse,apartment,sum
2010,538,107,365,1010
2011,475,133,352,960
2012,654,204,350,1208
2013,752,250,398,1400
2014,588,222,383,1193
,,,,
april,detached,townhouse,apartment,sum
2010,661,132,380,1173
2011,490,140,349,979
2012,683,228,414,1325
2013,781,273,405,1459
2014,640,266,488,1394
,,,,
may,detached,townhouse,apartment,sum
2010,706,155,420,1281
2011,515,167,367,1049
2012,711,249,420,1380
2013,807,275,481,1563
2014,640,284,414,1338
,,,,
june,detached,townhouse,apartment,sum
2010,695,146,405,1246
2011,514,163,365,1042
2012,695,247,416,1358
2013,805,275,463,1543
2014,635,280,408,1323
,,,,
july,detached,townhouse,apartment,sum
2010,647,150,383,1180
2011,560,172,380,1112
2012,721,255,421,1397
2013,750,273,426,1449
2014,618,235,389,1242
,,,,
august,detached,townhouse,apartment,sum
2010,591,154,343,1088
2011,593,178,395,1166
2012,654,232,412,1298
2013,728,258,419,1405
2014,597,224,374,1195
,,,,
september,detached,townhouse,apartment,sum
2010,557,151,337,1045
2011,636,199,401,1236
2012,677,235,426,1338
2013,749,260,423,1432
2014,610,221,376,1207
,,,,
october,detached,townhouse,apartment,sum
2010,505,140,327,972
2011,604,186,391,1181
2012,641,242,422,1305
2013,664,235,370,1269
2014,558,202,414,1174
,,,,
november,detached,townhouse,apartment,sum
2010,456,142,334,932
2011,532,179,377,1088
2012,603,225,390,1218
2013,596,216,347,1159
2014,487,185,388,1060
,,,,
december,detached,townhouse,apartment,sum
2010,381,120,302,803
2011,410,133,284,827
2012,437,181,303,921
2013,496,181,289,966
2014,358,138,312,808
