,,,Surrey Centre (Federal electoral district - 2013 Representation Order),,,,,
Topic,Characteristics,Total,Flag_Total,Male,Flag_Male,Female,Flag_Female,Total
Population and dwelling counts,Population in 2011,,,,,,,4400057
Population and dwelling counts,Population in 2006,,,,,,,4113487
Population and dwelling counts,2006 to 2011 population change (%),,,,,,,7
Population and dwelling counts,Total private dwellings,,,,,,,1945365
Population and dwelling counts,Private dwellings occupied by usual residents,,,,,,,1764637
Population and dwelling counts,Population density per square kilometre,,,,,,,4.8
Population and dwelling counts,Land area (square km),,,,,,,922509.29
,,,,,,,,
Age characteristics,Total population by age groups,111480,,56415,,55065,,4400055
Age characteristics,20 to 24 years,8130,,4170,,3960,,279825
Age characteristics,25 to 29 years,8905,,4440,,4465,,288780
Age characteristics,Median age of the population,36.4,,36.1,,36.6,,41.9
Age characteristics,% of the population aged 15 and over,81.5,,81,,82.1,,84.6
,,,,,,,,
Marital status,Total population 15 years and over by marital status,90905,,45700,,45205,,3722695
Marital status,Married or living with a common-law partner,50280,,25165,,25120,,2154575
Marital status,Married (and not separated),44205,,22120,,22085,,1832605
Marital status,Living common law,6075,,3045,,3030,,321965
Marital status,Not married and not living with a common-law partner,40625,,20540,,20090,,1568120
Marital status,Single (never legally married),27440,,15600,,11835,,1014270
Marital status,Separated,2900,,1290,,1610,,102040
Marital status,Divorced,5780,,2685,,3095,,246515
Marital status,Widowed,4510,,960,,3550,,205300
,,,,,,,,
Family characteristics,Total number of census families in private households,29755,,,,,,1238155
Family characteristics,Size of census family: 2 persons,12950,,,,,,645245
Family characteristics,Size of census family: 3 persons,6760,,,,,,263910
Family characteristics,Size of census family: 4 persons,6705,,,,,,238525
Family characteristics,Size of census family: 5 or more persons,3345,,,,,,90470
,,,,,,,,
Family characteristics,Total number of census families in private households,29760,,,,,,1238155
Family characteristics,Total couple families by family structure and number of children,24115,,,,,,1048350
Family characteristics,Married couples,21080,,,,,,887990
Family characteristics,Without children at home,7695,,,,,,422310
Family characteristics,With children at home,13385,,,,,,465680
Family characteristics,1 child,4685,,,,,,181895
Family characteristics,2 children,5760,,,,,,205505
Family characteristics,3 or more children,2945,,,,,,78280
Family characteristics,Common-law couples,3030,,,,,,160360
Family characteristics,Without children at home,1820,,,,,,105425
Family characteristics,With children at home,1210,,,,,,54935
Family characteristics,1 child,610,,,,,,27565
Family characteristics,2 children,410,,,,,,19145
Family characteristics,3 or more children,195,,,,,,8225
Family characteristics,Total lone-parent families by sex of parent and number of children,5645,,,,,,189805
Family characteristics,Female parent,4460,,,,,,149010
Family characteristics,1 child,2630,,,,,,90235
Family characteristics,2 children,1210,,,,,,43935
Family characteristics,3 or more children,630,,,,,,14835
Family characteristics,Male parent,1180,,,,,,40795
Family characteristics,1 child,810,,,,,,27275
Family characteristics,2 children,260,,,,,,10510
Family characteristics,3 or more children,115,,,,,,3005
Family characteristics,Total children in census families in private households,37020,,,,,,1230340
Family characteristics,Under six years of age,8235,,,,,,260215
Family characteristics,6 to 14 years,12100,,,,,,409250
