,,,Surrey Centre (Federal electoral district - 2013 Representation Order),,,,,,British Columbia (Province)
Topic,Characteristics,Note,Total,Flag_Total,Male,Flag_Male,Female,Flag_Female,Total,Flag_Total,Male,Flag_Male,Female,Flag_Female
Population and dwelling counts,Population in 2011,1,,..,,...,,..., 4400057,+,,...,,...
Population and dwelling counts,Population in 2006,1,,..,,...,,..., 4113487,+,,...,,...
Population and dwelling counts,2006 to 2011 population change (%),,,..,,...,,...,      7.0,,,...,,...
Population and dwelling counts,Total private dwellings,2,,..,,...,,..., 1945365,,,...,,...
Population and dwelling counts,Private dwellings occupied by usual residents,3,,..,,...,,..., 1764637,,,...,,...
Population and dwelling counts,Population density per square kilometre,,,..,,...,,...,    4.8,,,...,,...
Population and dwelling counts,Land area (square km),,,..,,...,,..., 922509.29,,,...,,...
Age characteristics,Total population by age groups,4,  111480,,   56415,,   55065,, 4400055,, 2156600,, 2243455,
Age characteristics,   0 to 4 years,,    7065,,    3630,,    3435,,  219665,,  112885,,  106775,
Age characteristics,   5 to 9 years,,    6650,,    3510,,    3145,,  218915,,  112200,,  106715,
Age characteristics,   10 to 14 years,,    6855,,    3575,,    3285,,  238780,,  122465,,  116315,
Age characteristics,   15 to 19 years,,    7455,,    3820,,    3635,,  275165,,  141670,,  133500,
Age characteristics,      15 years,,    1495,,     775,,     720,,   53725,,   27620,,   26110,
Age characteristics,      16 years,,    1485,,     755,,     730,,   54885,,   28475,,   26410,
Age characteristics,      17 years,,    1440,,     725,,     715,,   55400,,   28510,,   26885,
Age characteristics,      18 years,,    1495,,     745,,     750,,   55380,,   28425,,   26955,
Age characteristics,      19 years,,    1540,,     810,,     730,,   55785,,   28640,,   27140,
Age characteristics,   20 to 24 years,,    8130,,    4170,,    3960,,  279825,,  142290,,  137535,
Age characteristics,   25 to 29 years,,    8905,,    4440,,    4465,,  288780,,  143475,,  145305,
Age characteristics,   30 to 34 years,,    8335,,    4125,,    4210,,  275985,,  135220,,  140755,
Age characteristics,   35 to 39 years,,    8000,,    3890,,    4110,,  280870,,  135455,,  145415,
Age characteristics,   40 to 44 years,,    8450,,    4325,,    4130,,  313765,,  151430,,  162335,
Age characteristics,   45 to 49 years,,    8975,,    4700,,    4275,,  350600,,  170580,,  180020,
Age characteristics,   50 to 54 years,,    8275,,    4295,,    3980,,  354610,,  172060,,  182550,
Age characteristics,   55 to 59 years,,    6810,,    3550,,    3260,,  323335,,  157455,,  165880,
Age characteristics,   60 to 64 years,,    5560,,    2805,,    2750,,  291040,,  142645,,  148395,
Age characteristics,   65 to 69 years,,    4005,,    1930,,    2075,,  210900,,  103785,,  107115,
Age characteristics,   70 to 74 years,,    2945,,    1460,,    1490,,  160715,,   77350,,   83360,
Age characteristics,   75 to 79 years,,    2245,,    1055,,    1195,,  127480,,   60720,,   66760,
Age characteristics,   80 to 84 years,,    1495,,     695,,     805,,   96945,,   42745,,   54200,
Age characteristics,   85 years and over,,    1315,,     440,,     875,,   92675,,   32150,,   60520,
Age characteristics,Median age of the population,5,   36.4,,   36.1,,   36.6,,   41.9,,   41.1,,   42.7,
Age characteristics,% of the population aged 15 and over,,   81.5,,   81.0,,   82.1,,   84.6,,   83.9,,   85.3,
Marital status,Total population 15 years and over by marital status,6,   90905,,   45700,,   45205,, 3722695,, 1809045,, 1913650,
Marital status,   Married or living with a common-law partner,,   50280,,   25165,,   25120,, 2154575,, 1074965,, 1079610,
