,,,South Surrey--White Rock (Federal electoral district - 2013 Representation Order),,,,,,British Columbia (Province)
Topic,Characteristics,Note,Total,Flag_Total,Male,Flag_Male,Female,Flag_Female,Total,Flag_Total,Male,Flag_Male,Female,Flag_Female
Population and dwelling counts,Population in 2011,1,,..,,...,,..., 4400057,+,,...,,...
Population and dwelling counts,Population in 2006,1,,..,,...,,..., 4113487,+,,...,,...
Population and dwelling counts,2006 to 2011 population change (%),,,..,,...,,...,      7.0,,,...,,...
Population and dwelling counts,Total private dwellings,2,,..,,...,,..., 1945365,,,...,,...
Population and dwelling counts,Private dwellings occupied by usual residents,3,,..,,...,,..., 1764637,,,...,,...
Population and dwelling counts,Population density per square kilometre,,,..,,...,,...,    4.8,,,...,,...
Population and dwelling counts,Land area (square km),,,..,,...,,..., 922509.29,,,...,,...
Age characteristics,Total population by age groups,4,   94680,,   44765,,   49915,, 4400055,, 2156600,, 2243455,
Age characteristics,   0 to 4 years,,    3845,,    1935,,    1910,,  219665,,  112885,,  106775,
Age characteristics,   5 to 9 years,,    4225,,    2150,,    2075,,  218915,,  112200,,  106715,
Age characteristics,   10 to 14 years,,    5125,,    2600,,    2525,,  238780,,  122465,,  116315,
Age characteristics,   15 to 19 years,,    5930,,    3020,,    2910,,  275165,,  141670,,  133500,
Age characteristics,      15 years,,    1215,,     605,,     610,,   53725,,   27620,,   26110,
Age characteristics,      16 years,,    1140,,     610,,     530,,   54885,,   28475,,   26410,
Age characteristics,      17 years,,    1255,,     640,,     615,,   55400,,   28510,,   26885,
Age characteristics,      18 years,,    1175,,     595,,     580,,   55380,,   28425,,   26955,
Age characteristics,      19 years,,    1140,,     565,,     575,,   55785,,   28640,,   27140,
Age characteristics,   20 to 24 years,,    4740,,    2435,,    2305,,  279825,,  142290,,  137535,
Age characteristics,   25 to 29 years,,    3930,,    1895,,    2035,,  288780,,  143475,,  145305,
Age characteristics,   30 to 34 years,,    3990,,    1855,,    2135,,  275985,,  135220,,  140755,
Age characteristics,   35 to 39 years,,    5025,,    2345,,    2680,,  280870,,  135455,,  145415,
Age characteristics,   40 to 44 years,,    6285,,    2925,,    3365,,  313765,,  151430,,  162335,
Age characteristics,   45 to 49 years,,    7335,,    3460,,    3875,,  350600,,  170580,,  180020,
Age characteristics,   50 to 54 years,,    7590,,    3600,,    3995,,  354610,,  172060,,  182550,
Age characteristics,   55 to 59 years,,    7800,,    3695,,    4105,,  323335,,  157455,,  165880,
Age characteristics,   60 to 64 years,,    7615,,    3560,,    4055,,  291040,,  142645,,  148395,
Age characteristics,   65 to 69 years,,    5950,,    2895,,    3050,,  210900,,  103785,,  107115,
Age characteristics,   70 to 74 years,,    4470,,    2100,,    2375,,  160715,,   77350,,   83360,
Age characteristics,   75 to 79 years,,    3665,,    1645,,    2020,,  127480,,   60720,,   66760,
Age characteristics,   80 to 84 years,,    3205,,    1315,,    1890,,   96945,,   42745,,   54200,
Age characteristics,   85 years and over,,    3950,,    1340,,    2610,,   92675,,   32150,,   60520,
Age characteristics,Median age of the population,5,   48.0,,   46.9,,   48.9,,   41.9,,   41.1,,   42.7,
Age characteristics,% of the population aged 15 and over,,   86.1,,   85.1,,   86.9,,   84.6,,   83.9,,   85.3,
Marital status,Total population 15 years and over by marital status,6,   81485,,   38085,,   43400,, 3722695,, 1809045,, 1913650,
Marital status,   Married or living with a common-law partner,,   49640,,   24690,,   24945,, 2154575,, 1074965,, 1079610,
