,,,Surrey - City (Census subdivision),,,,,,British Columbia (Province)
Topic,Characteristics,Note,Total,Flag_Total,Male,Flag_Male,Female,Flag_Female,Total,Flag_Total,Male,Flag_Male,Female,Flag_Female
Population and dwelling counts,Population in 2011,1,  468251,,,...,,..., 4400057,+,,...,,...
Population and dwelling counts,Population in 2006,1,  394976,,,...,,..., 4113487,+,,...,,...
Population and dwelling counts,2006 to 2011 population change (%),,     18.6,,,...,,...,      7.0,,,...,,...
Population and dwelling counts,Total private dwellings,2,  163986,,,...,,..., 1945365,,,...,,...
Population and dwelling counts,Private dwellings occupied by usual residents,3,  152847,,,...,,..., 1764637,,,...,,...
Population and dwelling counts,Population density per square kilometre,, 1479.9,,,...,,...,    4.8,,,...,,...
Population and dwelling counts,Land area (square km),,    316.41,,,...,,..., 922509.29,,,...,,...
Age characteristics,Total population by age groups,4,  468250,,  231570,,  236680,, 4400055,, 2156600,, 2243455,
Age characteristics,   0 to 4 years,,   29160,,   15115,,   14050,,  219665,,  112885,,  106775,
Age characteristics,   5 to 9 years,,   28800,,   14820,,   13980,,  218915,,  112200,,  106715,
Age characteristics,   10 to 14 years,,   30785,,   15955,,   14830,,  238780,,  122465,,  116315,
Age characteristics,   15 to 19 years,,   33130,,   17230,,   15905,,  275165,,  141670,,  133500,
Age characteristics,      15 years,,    6800,,    3535,,    3265,,   53725,,   27620,,   26110,
Age characteristics,      16 years,,    6695,,    3535,,    3160,,   54885,,   28475,,   26410,
Age characteristics,      17 years,,    6655,,    3450,,    3210,,   55400,,   28510,,   26885,
Age characteristics,      18 years,,    6630,,    3440,,    3190,,   55380,,   28425,,   26955,
Age characteristics,      19 years,,    6355,,    3270,,    3085,,   55785,,   28640,,   27140,
Age characteristics,   20 to 24 years,,   31085,,   15750,,   15335,,  279825,,  142290,,  137535,
Age characteristics,   25 to 29 years,,   32275,,   15835,,   16435,,  288780,,  143475,,  145305,
Age characteristics,   30 to 34 years,,   32150,,   15405,,   16745,,  275985,,  135220,,  140755,
Age characteristics,   35 to 39 years,,   32900,,   15650,,   17250,,  280870,,  135455,,  145415,
Age characteristics,   40 to 44 years,,   35030,,   17090,,   17940,,  313765,,  151430,,  162335,
Age characteristics,   45 to 49 years,,   36530,,   18250,,   18285,,  350600,,  170580,,  180020,
Age characteristics,   50 to 54 years,,   34340,,   17055,,   17285,,  354610,,  172060,,  182550,
Age characteristics,   55 to 59 years,,   29825,,   14770,,   15050,,  323335,,  157455,,  165880,
Age characteristics,   60 to 64 years,,   25670,,   12570,,   13100,,  291040,,  142645,,  148395,
Age characteristics,   65 to 69 years,,   18530,,    9095,,    9435,,  210900,,  103785,,  107115,
Age characteristics,   70 to 74 years,,   13585,,    6560,,    7025,,  160715,,   77350,,   83360,
Age characteristics,   75 to 79 years,,   10180,,    4750,,    5425,,  127480,,   60720,,   66760,
Age characteristics,   80 to 84 years,,    7400,,    3235,,    4165,,   96945,,   42745,,   54200,
Age characteristics,   85 years and over,,    6875,,    2430,,    4445,,   92675,,   32150,,   60520,
Age characteristics,Median age of the population,5,   37.5,,   36.8,,   38.2,,   41.9,,   41.1,,   42.7,
Age characteristics,% of the population aged 15 and over,,   81.0,,   80.2,,   81.9,,   84.6,,   83.9,,   85.3,
Marital status,Total population 15 years and over by marital status,6,  379510,,  185685,,  193825,, 3722695,, 1809045,, 1913650,
Marital status,   Married or living with a common-law partner,,  231120,,  115300,,  115820,, 2154575,, 1074965,, 1079610,
Marital status,      Married (and not separated),,  210295,,  104895,,  105400,, 1832605,,  913430,,  919175,
Marital status,      Living common law,,   20825,,   10405,,   10425,,  321965,,  161530,,  160435,
Marital status,   Not married and not living with a common-law partner,,  148385,,   70385,,   78000,, 1568120,,  734075,,  834040,
Marital status,      Single (never legally married),,  100530,,   54915,,   45615,, 1014270,,  550830,,  463435,
Marital status,      Separated,,    9690,,    4065,,    5630,,  102040,,   43570,,   58470,
Marital status,      Divorced,,   19430,,    7770,,   11665,,  246515,,   98130,,  148385,
Marital status,      Widowed,,   18730,,    3640,,   15090,,  205300,,   41550,,  163750,
Family characteristics,Total number of census families in private households,7,  131065,,,...,,..., 1238155,,,...,,...
Family characteristics,   Size of census family: 2 persons,,   55135,,,...,,...,  645245,,,...,,...
Family characteristics,   Size of census family: 3 persons,,   29295,,,...,,...,  263910,,,...,,...
Family characteristics,   Size of census family: 4 persons,,   32160,,,...,,...,  238525,,,...,,...
Family characteristics,   Size of census family: 5 or more persons,,   14475,,,...,,...,   90470,,,...,,...
Family characteristics,Total number of census families in private households,8,  131070,,,...,,..., 1238155,,,...,,...
Family characteristics,   Total couple families by family structure and number of children,,  111540,,,...,,..., 1048350,,,...,,...
Family characteristics,      Married couples,,  101160,,,...,,...,  887990,,,...,,...
Family characteristics,         Without children at home,,   37575,,,...,,...,  422310,,,...,,...
Family characteristics,         With children at home,,   63585,,,...,,...,  465680,,,...,,...
Family characteristics,            1 child,,   21465,,,...,,...,  181895,,,...,,...
Family characteristics,            2 children,,   28930,,,...,,...,  205505,,,...,,...
Family characteristics,            3 or more children,,   13185,,,...,,...,   78280,,,...,,...
Family characteristics,      Common-law couples,,   10380,,,...,,...,  160360,,,...,,...
Family characteristics,         Without children at home,,    6245,,,...,,...,  105425,,,...,,...
Family characteristics,         With children at home,,    4135,,,...,,...,   54935,,,...,,...
Family characteristics,            1 child,,    1990,,,...,,...,   27565,,,...,,...
Family characteristics,            2 children,,    1455,,,...,,...,   19145,,,...,,...
Family characteristics,            3 or more children,,     695,,,...,,...,    8225,,,...,,...
Family characteristics,   Total lone-parent families by sex of parent and number of children,,   19525,,,...,,...,  189805,,,...,,...
Family characteristics,      Female parent,,   15555,,,...,,...,  149010,,,...,,...
Family characteristics,         1 child,,    8795,,,...,,...,   90235,,,...,,...
Family characteristics,         2 children,,    4755,,,...,,...,   43935,,,...,,...
Family characteristics,         3 or more children,,    2005,,,...,,...,   14835,,,...,,...
Family characteristics,      Male parent,,    3975,,,...,,...,   40795,,,...,,...
Family characteristics,         1 child,,    2520,,,...,,...,   27275,,,...,,...
Family characteristics,         2 children,,    1085,,,...,,...,   10510,,,...,,...
Family characteristics,         3 or more children,,     365,,,...,,...,    3005,,,...,,...
Family characteristics,Total children in census families in private households,,  160930,,,...,,..., 1230340,,,...,,...
Family characteristics,   Under six years of age,,   34490,,,...,,...,  260215,,,...,,...
Family characteristics,   6 to 14 years,,   53390,,,...,,...,  409250,,,...,,...
Family characteristics,   15 to 17 years,,   19490,,,...,,...,  156650,,,...,,...
Family characteristics,   18 to 24 years,,   34275,,,...,,...,  255855,,,...,,...
Family characteristics,   25 years and over,,   19280,,,...,,...,  148375,,,...,,...
Family characteristics,Average number of children at home per census family,,    1.2,,,...,,...,    1.0,,,...,,...
Household and dwelling characteristics,Total number of persons in private households,,  463340,,  229405,,  233935,, 4324505,, 2122320,, 2202185,
Household and dwelling characteristics,   Number of persons not in census families,,   59805,,   28525,,   31275,,  807660,,  383540,,  424120,
Household and dwelling characteristics,      Living with relatives,9,   15055,,    5725,,    9325,,  105450,,   42525,,   62925,
Household and dwelling characteristics,      Living with non-relatives only,,   14605,,    8405,,    6200,,  203285,,  111935,,   91345,
Household and dwelling characteristics,      Living alone,,   30145,,   14400,,   15740,,  498920,,  229075,,  269850,
Household and dwelling characteristics,   Number of census family persons,,  403535,,  200875,,  202665,, 3516850,, 1738780,, 1778070,
Household and dwelling characteristics,Average number of persons per census family,,    3.1,,,...,,...,    2.8,,,...,,...
Household and dwelling characteristics,Total number of persons aged 65 years and over in private households,,   53505,,   25130,,   28375,,  643410,,  302320,,  341095,
Household and dwelling characteristics,   Number of persons not in census families aged 65 years and over,,   16255,,    4695,,   11555,,  211820,,   65460,,  146365,
Household and dwelling characteristics,      Living with relatives,9,    5500,,    1305,,    4195,,   32900,,    7490,,   25410,
Household and dwelling characteristics,      Living with non-relatives only,,    1070,,     545,,     525,,   13560,,    6770,,    6790,
Household and dwelling characteristics,      Living alone,,    9680,,    2850,,    6830,,  165365,,   51195,,  114165,
Household and dwelling characteristics,   Number of census family persons aged 65 years and over,,   37255,,   20430,,   16820,,  431590,,  236860,,  194730,
Household and dwelling characteristics,Total number of private households by household type,10,  152845,,,...,,..., 1764635,,,...,,...
Household and dwelling characteristics,   Census-family households,,  117505,,,...,,..., 1183075,,,...,,...
Household and dwelling characteristics,      One-family-only households,11,   93780,,,...,,..., 1041470,,,...,,...
Household and dwelling characteristics,         Couple-family households,12,   80535,,,...,,...,  898030,,,...,,...
Household and dwelling characteristics,            Without children,,   31255,,,...,,...,  458880,,,...,,...
Household and dwelling characteristics,            With children,,   49275,,,...,,...,  439150,,,...,,...
Household and dwelling characteristics,         Lone-parent-family households,,   13245,,,...,,...,  143445,,,...,,...
Household and dwelling characteristics,      Other family households,13,   23720,,,...,,...,  141600,,,...,,...
Household and dwelling characteristics,         One-family households with persons not in a census family,,   12045,,,...,,...,   91190,,,...,,...
Household and dwelling characteristics,            Couple-family households,14,    9475,,,...,,...,   66105,,,...,,...
Household and dwelling characteristics,               Without children,,    2125,,,...,,...,   23805,,,...,,...
Household and dwelling characteristics,               With children,,    7355,,,...,,...,   42300,,,...,,...
Household and dwelling characteristics,            Lone-parent-family households,,    2565,,,...,,...,   25085,,,...,,...
Household and dwelling characteristics,         Two-or-more-family households,,   11680,,,...,,...,   50415,,,...,,...
Household and dwelling characteristics,   Non-census-family households,,   35345,,,...,,...,  581565,,,...,,...
Household and dwelling characteristics,      One-person households,,   30140,,,...,,...,  498925,,,...,,...
Household and dwelling characteristics,      Two-or-more-person households,,    5205,,,...,,...,   82640,,,...,,...
Household and dwelling characteristics,Total number of occupied private dwellings by structural type of dwelling,15,  152850,,,...,,..., 1764635,,,...,,...
Household and dwelling characteristics,   Single-detached house,,   64515,,,...,,...,  842120,,,...,,...
Household and dwelling characteristics,   Apartment; building that has five or more storeys,,    3800,,,...,,...,  143970,,,...,,...
Household and dwelling characteristics,   Movable dwelling,16,    1440,,,...,,...,   46960,,,...,,...
Household and dwelling characteristics,   Other dwelling,17,   83100,,,...,,...,  731585,,,...,,...
Household and dwelling characteristics,      Semi-detached house,,    3345,,,...,,...,   52825,,,...,,...
Household and dwelling characteristics,      Row house,,   20900,,,...,,...,  130365,,,...,,...
Household and dwelling characteristics,      Apartment; duplex,,   27410,,,...,,...,  184355,,,...,,...
Household and dwelling characteristics,      Apartment; building that has fewer than five storeys,,   31345,,,...,,...,  361150,,,...,,...
Household and dwelling characteristics,      Other single-attached house,,     100,,,...,,...,    2885,,,...,,...
Household and dwelling characteristics,Total number of private households by household size,18,  152850,,,...,,..., 1764640,,,...,,...
Household and dwelling characteristics,   1 person,,   30145,,,...,,...,  498925,,,...,,...
Household and dwelling characteristics,   2 persons,,   42950,,,...,,...,  613270,,,...,,...
Household and dwelling characteristics,   3 persons,,   25100,,,...,,...,  264135,,,...,,...
Household and dwelling characteristics,   4 persons,,   27760,,,...,,...,  237725,,,...,,...
Household and dwelling characteristics,   5 persons,,   13625,,,...,,...,   91600,,,...,,...
Household and dwelling characteristics,   6 or more persons,,   13275,,,...,,...,   58985,,,...,,...
Household and dwelling characteristics,Number of persons in private households,,  463340,,,...,,..., 4324505,,,...,,...
Household and dwelling characteristics,Average number of persons in private households,,    3.0,,,...,,...,    2.5,,,...,,...
Detailed mother tongue,Detailed mother tongue - Total population excluding institutional residents,19,  465005,,  230090,,  234915,, 4356205,, 2137240,, 2218965,
Detailed mother tongue,  Single responses ,,  449780,,  222615,,  227160,, 4273930,, 2098055,, 2175870,
Detailed mother tongue,    English ,,  240485,,  120785,,  119705,, 3062435,, 1526350,, 1536085,
Detailed mother tongue,    French ,,    3475,,    1710,,    1760,,   57275,,   28315,,   28965,
Detailed mother tongue,    Non-official languages ,,  205815,,  100120,,  105695,, 1154215,,  543395,,  610825,
Detailed mother tongue,      Selected Aboriginal languages,20,      65,,      20,,      40,,    1210,,     540,,     675,
Detailed mother tongue,        Atikamekw   ,,       0,,       0,,       0,,       0,,       0,,       0,
Detailed mother tongue,        Cree; n.o.s. ,,      45,,      15,,      25,,     955,,     435,,     525,
Detailed mother tongue,        Dene ,,       5,,       0,,       5,,      70,,      35,,      35,
Detailed mother tongue,        Innu/Montagnais ,,       0,,       0,,       0,,       5,,       5,,       0,
Detailed mother tongue,        Inuktitut ,,       0,,       0,,       0,,      25,,      10,,      10,
Detailed mother tongue,        Mi'kmaq ,,       5,,       5,,       0,,      15,,      10,,       5,
Detailed mother tongue,        Ojibway ,,      15,,       0,,      15,,     140,,      50,,      90,
Detailed mother tongue,        Oji-Cree ,,       0,,       0,,       0,,       0,,       0,,       0,
Detailed mother tongue,        Stoney ,,       0,,       0,,       0,,       5,,       5,,       5,
Detailed mother tongue,      Selected non-Aboriginal languages,21,  204430,,   99455,,  104970,, 1137420,,  535395,,  602025,
Detailed mother tongue,        African languages; n.i.e. ,,     200,,      90,,     110,,     620,,     330,,     295,
